,Date,User,Tweet
44,2022-12-21 06:04:22+00:00,tvOneNews,Dugaan Pelecehan Seksual Oleh Oknum Doktor Universitas Andalas Ramai di Media Sosial https://t.co/sgiON7s7Nw
45,2022-12-20 12:00:10+00:00,VICE_ID,"Korban pelecehan seksual di Universitas Gunadarma mencabut laporan. Namun giliran terduga pelaku, yang sebelumnya viral direkam saat dikeroyok mahasiswa lain, membuat laporan ke polisi. https://t.co/N205iHiLhg https://t.co/uDSUBJZkPv"
46,2022-12-20 11:16:04+00:00,derasdotid,"Komisioner Komnas Perempuan Alimatul Qibtiyah menganggap pelecehan seksual di Universitas Gunadarma tidak bisa diselesaikan secara kekeluargaan, sebab kasus tersebut belum memenuhi syarat.

#Derasdotid 
https://t.co/Q67YHCohD9"
47,2022-12-20 11:06:23+00:00,derasdotid,"Dua #pelaku pelecehan seksual  di Universitas Gunadarma, Depok, dipersekusi oleh sejumlah mahasiswa dilingkungan kampus. Kedua pelaku itu disuduti rokok, ditelanjangi, hingga disuruh meminum air kencingnya sendiri. 

#Derasdotid
https://t.co/lgKCUKeRtb"
48,2022-12-20 08:18:43+00:00,IDWS,"Terduga Pelaku Pelecehan Seksual di Universitas Gunadarma Jadi Korban Pesekusi, Kini Lapor ke Polisi https://t.co/wdBs7KaZAy via @idws 

#IDWS"
49,2022-12-20 06:43:35+00:00,ngopibareng_id,Kasus pelecehan seksual di Universitas Gunadarma berbalik dengan pelaku kekerasan yang melapor kepada polisi. Korban mencabut laporan. https://t.co/OH4LCuD93i
50,2022-12-20 04:27:22+00:00,inilahdotcom,"Pelaku pelecehan seksual berinisial TPP (18) yang juga mahasiswa Universitas Gunadarma melaporkan aksi penganiayaan yang dilakukan seniornya di lingkungan Kampus Universitas Gunadarma, Depok, Jawa Barat.

https://t.co/l7YwTjlQmE"
51,2022-12-20 03:06:28+00:00,bingkainasional,"TPP, Pelaku Pelecehan Seksual di Universitas Gunadarma Yang Dipersekusi Akhirnya Lapor Polisi https://t.co/o4rYh9yJZD"
52,2022-12-20 03:00:00+00:00,VIVAcoid,"Pelaku pelecehan seksual di Universitas Gunadarma rupanya memperpanjang kasus persekusi yang dialaminya dengan membuat laporan kepolisian ke Polres Metro Depok. 

https://t.co/VZZjBev3ML https://t.co/8DoYY3F2Dv"
53,2022-12-20 00:36:36+00:00,detikcom,Kasus persekusi terhadap 2 mahasiswa pelaku pelecehan seksual di Universitas Gunadarma terus bergulir. Sejumlah fakta terkini kasus tersebut pun terungkap. https://t.co/yvR1g8avXU
54,2022-12-19 15:15:09+00:00,LarosMedia,"Sadis! Pelaku Pelecehan Seksual di Universitas Gunadarma Diarak, Diikat, Hingga Diberi Air Seni https://t.co/RtAqledZq3"
55,2022-12-19 11:43:15+00:00,tempodotco,"Selain luka fisik, pelaku pelecehan seksual di Universitas Gunadarma juga mengalami trauma usai dipersekusi puluhan orang. https://t.co/lAX5SPZGdJ"
56,2022-12-19 10:31:15+00:00,mitrapost_,"Pihak Rektorat Universitas Gunadarma Selidiki Kasus Persekusi Pelaku Pelecehan Seksual
https://t.co/nIKeaUSsyi"
57,2022-12-19 10:04:34+00:00,idntimes,Ahli kriminologi dari Universitas Indonesia (UI) Muhammad Mustofa heran dengan terdakwa Ferdy Sambo yang tidak melakukan upaya visum kepada Putri Candrawathi yang mengaku mengalami pelecehan seksual. https://t.co/MU26B8Npvf https://t.co/JXmJR1Waao
58,2022-12-19 09:16:49+00:00,tempodotco,Pelaku pelecehan seksual di Universitas Gunadarma resmi membuat laporan kepolisian atas peristiwa persekusi yang dialaminya. https://t.co/aAMN1Ov5Uk
59,2022-12-19 00:59:51+00:00,kalderanews,Kasus Pelecehan Seksual Coreng Universitas Gunadarma - https://t.co/P7BJOjbC7H
60,2022-12-17 09:45:14+00:00,De_Liput,VIDEO: Pelaku Pelecehan Seksual di Universitas Gunadarma Dipersekusi Jadi Sorotan Kemen PPPA https://t.co/X6aDdKr3dJ
61,2022-12-17 09:16:04+00:00,haluanharian,"Marak Pelecehan Seksual di Universitas, Lembaga Ini Berikan Bantuan Hukum dan Konseling https://t.co/bZdvfJvNDV"
62,2022-12-17 06:10:22+00:00,sigemukyaaku,Tanggapan Kompolnas Soal Kasus Pelecehan Seksual dan Persekusi di Universitas Gunadarma https://t.co/BT0atD63Is
63,2022-12-17 05:09:32+00:00,liputan6dotcom,VIDEO: Pelaku Pelecehan Seksual di Universitas Gunadarma Dipersekusi Jadi Sorotan Kemen PPPA https://t.co/PvwF40Ts1T
64,2022-12-17 05:05:06+00:00,yunankingstar1,"https://t.co/ByWJVy60R0

Pelecehan seksual mahasiswa Universitas Gunadarma, Depok, Jawa Barat dinyatakan polisi telah berakhir damai. Korban sudah mencabut laporannya terhadap pelaku."
65,2022-12-17 05:02:23+00:00,detikcom,Pelecehan seksual mahasiswa Universitas Gunadarma dinyatakan polisi telah berakhir damai dan korban sudah mencabut laporannya. Berikut selengkapnya. https://t.co/5fio0T8Kwy
66,2022-12-17 02:57:42+00:00,SCTV,"Aksi persekusi yang terjadi di Universitas Gunadarma mendapat perhatian dari Kementerian PPPA. Mereka menilai kendati sebelumnya korban persekusi diduga melakukan pelecehan seksual, aksi main hakim sendiri tidak dibenarkan. 

#Liputan6SCTV

Berita lainnya: https://t.co/qb6lW4Dqjd https://t.co/Y5hWqszAGE"
67,2022-12-17 01:50:11+00:00,De_Liput,Pelaku Pelecehan Seksual di Universitas Gunadarma Dipersekusi Jadi Sorotan Kemen PPPA | Liputan 6 https://t.co/xSs8oRqe6i
68,2022-12-16 11:09:17+00:00,jpnncom,"Polisi: Kasus Pelecehan Seksual di Universitas Gunadarma Berakhir Damai
#pelecehanseksual
https://t.co/hXvb6FpmAP"
69,2022-12-16 11:09:16+00:00,jpnncom,"(Thread)
Penjelasan Polisi Ihwal Kasus Pelecehan Seksual di Universitas Gunadarma
#pelecehanseksual
https://t.co/lREyv6l9nI"
70,2022-12-16 10:12:55+00:00,kumparan,"Kasus dugaan pelecehan seksual yang terjadi di lingkungan Universitas Gunadarma berakhir damai. Kasat Reskrim Polres Metro Depok AKBP Yogen Heroes mengatakan, korban sepakat mencabut laporannya. #newsupdate #16des22 #news #oneliner https://t.co/mdXmdRUioA https://t.co/fTPiy9RarX"
71,2022-12-16 10:07:59+00:00,infogehco,"Kasus Pelecehan Seksual di Universitas Gunadarma Berakhir Damai, Korban Memaafkan Pelaku https://t.co/ghFUYrgxa1"
72,2022-12-16 09:22:55+00:00,Beritasatu,Kasus Pelecehan Seksual di Universitas Gunadarma Berakhir Damai https://t.co/YofJocHHKh
73,2022-12-16 08:45:03+00:00,jpnncom,Penjelasan Polisi Ihwal Kasus Pelecehan Seksual di Universitas Gunadarma #PolresMetroDepok https://t.co/lREyv6l9nI
74,2022-12-16 08:41:41+00:00,tempodotco,Polisi menerima tiga laporan dugaan pelecehan seksual di lingkungan Universitas Gunadarma Depok. https://t.co/MdyTSmoaz0
75,2022-12-16 08:40:03+00:00,jpnncom,Polisi: Kasus Pelecehan Seksual di Universitas Gunadarma Berakhir Damai #PolresMetroDepok https://t.co/hXvb6FHvOX
76,2022-12-16 08:38:47+00:00,jpnncom,"#BeritaJabar
Polisi: Kasus Pelecehan Seksual di Universitas Gunadarma Berakhir Damai
#pelecehanseksual
#universitasgunadarma 
https://t.co/hXvb6FpmAP"
77,2022-12-16 08:36:48+00:00,AMP_Stories,Akhir Cerita Kasus Pelecehan Seksual dan Persekusi di Universitas Gunadarma - https://t.co/mgKpqEUK7Y - https://t.co/mgKpqEUK7Y https://t.co/G8waXPRIrg #Cerita
78,2022-12-16 08:18:16+00:00,jpnncom,"#BeritaJabar
Penjelasan Polisi Ihwal Kasus Pelecehan Seksual di Universitas Gunadarma
#pelecehanseksual 
#universitasgunadarma 
https://t.co/lREyv6l9nI"
79,2022-12-16 08:13:53+00:00,kapucinosenja,"UPDATE: Kasus Pelecehan Seksual oleh Mahasiswa di Universitas Gunadarma Berakhir Damai, Benarkah? https://t.co/dB5Dmd95j2

Mahasiswa / Gundar / Sherlyta Audina Sherlyta / Persekusi / Universitas Gunadarma"
80,2022-12-16 08:07:16+00:00,kumparan,Dua mahasiswa  Universitas Gunadarma  diduga jadi pelaku pelecehan seksual dipersekusi dengan cara diikat di pohon hingga diminumi air kencing.#kumparanNEWS #newsupdate https://t.co/ivupiFih8K
81,2022-12-16 07:14:14+00:00,mediakonteks,"Polisi mengantongi wajah para pelaku persekusi terhadap dua mahasiswa Universitas Gunadarma yang melakukan pelecehan seksual di kampus tersebut.

 https://t.co/yuhRK417Ol"
82,2022-12-16 06:49:11+00:00,kapucinosenja,"Inilah Perkembangan Kasus Pelecehan Seksual oleh Mahasiswa di Universitas Gunadarma yang Berujung Persekusi https://t.co/vNPX7cKNf6 

Mahasiswa Gundar l Sherlyta Audina Sherlyta l Tegar Putra Pradanta l Leroy Yan Pratama l Persekusi"
83,2022-12-15 16:29:28+00:00,tribunmedan,"Kasus Pelecehan Seksual di Universitas Gunadarma: Pelaku Ditelanjangi dan Dicekoki Air Kencing
 
https://t.co/mxHiSOiigx via @tribunnews"
84,2022-12-15 13:55:04+00:00,UG_BEMFTI,"sesuai dengan perundang-undangan yang berlaku dan tidak dengan melakukan bullying.

Dalam kasus pelecehan seksual yang terjadi di lingkungan Universitas Gunadarma pihak BEM FTI UG menolak dan menyayangkan tindakan persekusi dan bullying yang telah terjadi. https://t.co/AV9nRvo2da"
85,2022-12-15 13:54:56+00:00,UG_BEMFTI,"Pada Hari Senin, 12 Desember 2022 beredarnya informasi terkait pereksekusian dalam penindakan kasus pelecehan seksual di lingkungan Universitas Gunadarma. Dalam kasus ini  terdapat 2 pelaku yang telah melakukan pelecehan seksual terhadap beberapa korban. https://t.co/5WfGo0Td9U"
